"customer_name","average_payment_amount"
"MARY SMITH","3.708750000"
"PATRICIA JOHNSON","4.767777777"
"LINDA WILLIAMS","5.220769230"
"BARBARA JONES","3.717272727"
"ELIZABETH BROWN","3.805789473"
"JENNIFER DAVIS","3.347142857"
"MARIA MILLER","4.596060606"
"SUSAN WILSON","3.865000000"
"MARGARET MOORE","3.903043478"
"DOROTHY TAYLOR","3.990000000"
"LISA ANDERSON","4.448333333"
"NANCY THOMAS","3.704285714"
"KAREN JACKSON","4.878888888"
"BETTY WHITE","4.204285714"
"HELEN HARRIS","4.208750000"
"SANDRA MARTIN","4.162413793"
"DONNA THOMPSON","4.704285714"
"CAROL GARCIA","4.171818181"
"RUTH MARTINEZ","5.240000000"
"SHARON ROBINSON","3.856666666"
"MICHELLE CLARK","4.447142857"
"LAURA RODRIGUEZ","5.171818181"
"SARAH LEWIS","3.990000000"
"KIMBERLY LEE","3.830000000"
"DEBORAH WALKER","3.990000000"
"JESSICA HALL","4.490000000"
"SHIRLEY ALLEN","4.086774193"
"CYNTHIA YOUNG","3.490000000"
"ANGELA HERNANDEZ","3.906666666"
"MELISSA KING","3.637058823"
"BRENDA WRIGHT","4.028461538"
"AMY LOPEZ","4.403793103"
"ANNA HILL","4.370952380"
"REBECCA SCOTT","3.740000000"
"VIRGINIA GREEN","4.052500000"
"KATHLEEN ADAMS","3.434444444"
"PAMELA BAKER","4.163913043"
"MARTHA GONZALEZ","3.754705882"
"DEBRA NELSON","4.886551724"
"AMANDA CARTER","4.101111111"
"STEPHANIE MITCHELL","4.750000000"
"CAROLYN PEREZ","3.923333333"
"CHRISTINE ROBERTS","4.156666666"
"MARIE TURNER","4.413076923"
"JANET PHILLIPS","4.730740740"
"CATHERINE CAMPBELL","4.195882352"
"FRANCES PARKER","4.944545454"
"ANN EVANS","4.519411764"
"JOYCE EDWARDS","4.668571428"
"DIANE COLLINS","4.847142857"
"ALICE STEWART","4.202121212"
"JULIE SANCHEZ","3.714137931"
"HEATHER MORRIS","3.856666666"
"TERESA ROGERS","4.438275862"
"DORIS REED","4.580909090"
"GLORIA COOK","4.523333333"
"EVELYN MORGAN","4.097142857"
"JEAN BELL","4.286296296"
"CHERYL MURPHY","4.952962962"
"MILDRED BAILEY","3.950000000"
"KATHERINE RIVERA","4.204285714"
"JOAN COOPER","3.685652173"
"ASHLEY RICHARDSON","4.510000000"
"JUDITH COX","3.050606060"
"ROSE HOWARD","4.717272727"
"JANICE WARD","4.254705882"
"KELLY TORRES","4.535454545"
"NICOLE PETERSON","4.308181818"
"JUDY GRAY","3.870000000"
"CHRISTINA RAMIREZ","4.490000000"
"KATHY JAMES","4.323333333"
"THERESA WATSON","3.323333333"
"BEVERLY BROOKS","4.073333333"
"DENISE KELLY","3.841851851"
"TAMMY SANDERS","3.794878048"
"IRENE PRICE","3.381304347"
